Queens Park,Bakerloo to London Overground: 4.5 minutes
,
Queensway,
Ravenscourt Park,
Rayners Lane,Metropolitan to Piccadilly: 4 minutes
,
Redbridge,
Regents Park,
Richmond ,District to London Overground: 4 minutes
,District to South West Trains: 4 minutes
,London Overground to South West Trains: 4 minutes
Rickmansworth,Chiltern Railways to Metropolitan: 3 minutes
,
Roding Valley,
Rotherhithe,
Royal Albert,
Royal Oak,Connections between Circle and Hammersmith & City line: 2 minutes
,
Royal Victoria ,
Ruislip,Connections between Metropolitan and Piccadilly line: 3 minutes
,
Ruislip Gardens,
Ruislip Manor,Connections between Metropolitan and Piccadilly line: 4 minutes
,
Russell Square,
St. James's Park,Connections between Circle and District lines: 4 minutes
,
St John's Wood,
St.Pauls,
Seven Sisters,National Express East Anglia to Victoria: 7 minutes
,
Shadwell ,DLR to London Overground: 5 minutes
,
Shepherds Bush,Central to London Overground: 8 minutes
,
Shepherds Bush Market,Connections between Circle and Hammersmith & City lines: 4 minutes
,
Shoreditch High Street,
Sloane Square,Connections between Circle and District lines: 5 minutes
,
Snaresbrook,
South Acton,
South Ealing,
Southfields,
Southgate,
South Hampstead,
South Harrow,
South Kensington,Circle to District: 2 minutes
South Kensington,Circle to Piccadilly:4 minutes
South Kensington,District to Piccadilly: 4 minutes
South Kenton,Bakerloo to London Overground: 2 minutes
,
South Quay,
South Ruislip,Central to Chiltern Railways: 5 minutes
,
South Tottenham,
Southwark,
South Wimbledon,
South Woodford,
Stamford Brook,
Stanmore,
Star Lane,
Stepney Green,Connections between District and Hammersmith & City line: 4 minutes
,
Stockwell,Connections between Northern Line and Victoria line trains: 3 minutes
,
Stonebridge Park,Connections between Bakerloo and London Overground: 4 minutes
,
Stratford,Central to DLR Stratford Int: 4 minutes
Stratford,Central to DLR Canary Wharf: 3 minutes
Stratford,Central to London Overground: 5 minutes
Stratford,Central to National Express East Anglia: 5 minutes
Stratford,DLR Stratford Int to DLR Canary Wharf: 4.5 minutes
Stratford,DLR Stratford Int to London Overground: 6 minutes
Stratford,DLR Stratford Int to National Express East Anglia: 6 minutes
Stratford,DLR Canary Wharf to London Overground: 6 minutes
Stratford,DLR Canary Wharf to National Express East Anglia: 6 minutes
Stratford,London Overground to National Express East Anglia: 7 minutes
Stratford International,DLR to Southeastern: 6 minutes
,
Sudbury Hill,
Sudbury Town,
Surrey Quays,
Swiss Cottage,
Sydenham,Connections between London Overground and Southern: 4 minutes
,
Temple,Connections between Circle and District: 4 minutes
,
Theydon Bois,
Tooting Bec,
Tooting Broadway,
Tottenham Court Road,Central to Northern: 4 minutes
,
Tottenham Hale ,National Express East Anglia to Victoria: 5 minutes
,
Totteridge & Whetstone,
Tower Gateway,
Tower Hill,"Connections between Circle and District, and with terminating District: 2 minutes."
,
Tufnell Park,
Turnham Green,District (between branches): 4 minutes
Turnham Green,District to Piccadilly: 4 minutes
Turnpike Lane,
Upminster,C2C to District: 4.5 minutes
Upminster,C2C to National Express East Anglia: 5 minutes
Upminster,District to National Express East Anglia: 4.5 minutes
Upminster Bridge,
Upney,
Upper Holloway,
Upton Park,District to Hammersmith & City: 4 minutes
Uxbridge,Metropolitan to Piccadilly: 1 minute
,
Vauxhall,South West Trains to Victoria: 9 minutes
,
Victoria,Circle to District: 2 minutes
Victoria,Circle to Southern: 10 minutes
Victoria,Circle to Southeastern: 10 minutes
Victoria,Circle to Victoria: 4 minutes
Victoria,District to Southern: 10 minutes
Victoria,District to Southeastern: 10 minutes
Victoria,District to Victoria: 4 minutes
Victoria,Southern to Southeastern: 10 minutes
Victoria,Southern to Victoria: 10 minutes
Victoria,Southeastern to Victoria: 10 minutes
Walthamstow Central ,National Express East Anglia to Victoria: 4 minutes
,
Walthamstow Queens Road,
Wanstead,
Wanstead Park,
Wapping,
Warren Street,Northern to Victoria: 6 minutes
,
Warwick Avenue,
Waterloo ,Bakerloo to Jubilee: 6 minutes
Waterloo ,Bakerloo to Northern: 4 minutes
Waterloo ,Bakerloo to South West Trains: 10 minutes
Waterloo ,Jubilee to Northern: 6 minutes
Waterloo ,Jubilee to South West Trains: 11 minutes
Waterloo ,Northern to South West Trains: 10 minutes
Watford High Street,
Watford,
Watford Junction,London Overground to London Midland: 5 minutes
Watford Junction,London Overground to Southern: 5 minutes
Watford Junction,London Overground to Virgin Trains: 5 minutes
Watford Junction,London Midland to Southern: 5 minutes
Watford Junction,London Midland to Virgin Trains: 5 minutes
Watford Junction,Southern to Virgin Trains: 5 minutes
Wembley Central,Bakerloo to London Overground: 5 minutes
Wembley Central,Bakerloo to Southern: 5 minutes
Wembley Central,London Overground to Southern: 5 minutes
Wembley Park,Jubilee to Metropolitan: 4 minutes
,
West Acton,
Westbourne Park,Connections between Circle and Hammersmith & City lines: 4 minutes
,
West Brompton,District to London Overground: 5 minutes
West Brompton,District to Southern: 5 minutes
West Brompton,London Overground to Southern: 5 minutes
West Croydon,London Overground to Southern: 4 minutes
,
Westferry,Interchange between different DLR branches: 4 minutes
West Finchley,
West Ham,C2C to District: 4.5 minutes
West Ham,C2C to DLR: 5.5 minutes
West Ham,C2C to Hammersmith & City: 4.5 minutes
West Ham,C2C to Jubilee: 5.5 minutes
West Ham,District to DLR: 5 minutes
West Ham,District to Hammersmith & City: 5 minutes
West Ham,District to Jubilee: 5 minutes
West Ham,DLR to Hammersmith & City: 5 minutes
West Ham,DLR to Jubilee: 3 minutes
West Ham,Hammersmith & City to Jubilee
West Hampstead ,Jubilee to London Overground: 3.5 minutes
,
West Harrow,
West India Quay,Interchange between different DLR branches
West Kensington,
Westminster,Circle to District: 4 minutes
Westminster,Circle to Jubilee: 6 minutes
Westminster,District to Jubilee: 6 minutes
West Ruislip,Central to Chiltern Railways: 5 minutes
,
West Silvertown,
Whitechapel,Hammersmith & City  to District: 2 minutes
Whitechapel,Hammersmith & City  to London Overground: 5 minutes
Whitechapel,District to London Overground: 5 minutes
White City,
Willesden Green, 
Willesden Junction,Bakerloo to London Overground (Watford): 4 minutes
Willesden Junction,Bakerloo to London Overground (North/West London Lines): 5 minutes
Willesden Junction,London Overground (Watford) to London Overground (North/West London Lines): 5 minutes
Willesden Junction,London Overground (between North and West London Lines): 3 minutes
Wimbledon ,District to South West Trains: 5 minutes
Wimbledon ,District to Tramlink: 4 minutes
Wimbledon ,South West Trains to Tramlink: 5 minutes
,
Wimbledon Park,
Woodford,Connections between different branches: 3 minutes
Woodgrange Park,
Wood Green,
Wood Lane,
Woodside Park,
Woolwich Arsenal,DLR to Southeastern: 4 minutes
