,Line,Direction,Station from (A),Station to (B),Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
163,Victoria,Northbound,Vauxhall,Pimlico,0.8,1.37,1.5,1.5
164,Victoria,Northbound,Pimlico,Victoria,1.19,2.18,2.97,2.51
165,Victoria,Northbound,Victoria,Green Park,1.09,1.95,2.0,2.0
166,Victoria,Northbound,Green Park,Oxford Circus,1.14,1.97,2.47,2.02
167,Victoria,Northbound,Oxford Circus,Warren Street,0.9,1.53,2.48,2.04
168,Victoria,Northbound,Warren Street,Euston,0.76,1.32,1.5,1.5
169,Victoria,Northbound,Euston,Kings Cross,0.74,1.35,2.0,2.0
170,Victoria,Northbound,Kings Cross,Highbury & Islington,2.45,2.87,3.0,3.0
171,Victoria,Northbound,Highbury & Islington,Finsbury Park,1.93,2.4,2.97,2.56
172,Victoria,Northbound,Finsbury Park,Seven Sisters,3.15,4.25,5.34,5.76
173,Victoria,Northbound,Seven Sisters,Tottenham Hale,1.05,1.6,1.5,1.5
174,Victoria,Northbound,Tottenham Hale,Blackhorse Road,1.37,1.97,2.5,2.5
175,Victoria,Northbound,Blackhorse Road,Walthamstow Central,1.45,2.12,2.04,2.01
176,Waterloo & City,Eastbound,Waterloo,Bank,2.37,4.87,4.0,4.0
177,Waterloo & City,Westbound,Bank,Waterloo,2.37,4.2,3.75,3.75
178,Jubilee,Eastbound,Stanmore,Canons Park,1.27,1.95,2.0,2.0
179,Jubilee,Eastbound,Canons Park,Queensbury,1.71,1.93,2.5,2.5
180,Jubilee,Eastbound,Queensbury,Kingsbury,1.33,1.72,2.0,2.0
181,Jubilee,Eastbound,Kingsbury,Wembley Park,2.85,3.47,4.73,4.56
182,Jubilee,Eastbound,Wembley Park,Neasden,2.28,2.6,3.03,3.01
183,Jubilee,Eastbound,Neasden,Dollis Hill,0.85,1.43,1.5,1.5
184,Jubilee,Eastbound,Dollis Hill,Willesden Green,1.21,1.8,2.11,2.14
185,Jubilee,Eastbound,Willesden Green,Kilburn,1.19,1.68,2.0,2.0
186,Jubilee,Eastbound,Kilburn,West Hampstead,1.09,1.63,2.5,2.0
187,Jubilee,Eastbound,West Hampstead,Finchley Road,0.61,1.25,1.5,1.5
188,Jubilee,Eastbound,Finchley Road,Swiss Cottage,0.61,1.18,1.5,1.5
189,Jubilee,Eastbound,Swiss Cottage,St Johns Wood,0.92,1.52,2.0,2.0
190,Jubilee,Eastbound,St Johns Wood,Baker Street,2.06,2.77,3.5,3.5
191,Jubilee,Eastbound,Baker Street,Bond Street,1.66,2.1,2.5,2.5
192,Jubilee,Eastbound,Bond Street,Green Park,1.37,1.78,2.5,2.5
193,Jubilee,Eastbound,Green Park,Westminster,1.34,1.87,2.5,2.5
194,Jubilee,Eastbound,Westminster,Waterloo,0.96,1.38,2.0,2.0
195,Jubilee,Eastbound,Waterloo,Southwark,0.44,1.02,1.0,1.0
196,Jubilee,Eastbound,Southwark,London Bridge,1.26,1.65,2.5,2.5
197,Jubilee,Eastbound,London Bridge,Bermondsey,1.93,2.25,2.5,2.5
198,Jubilee,Eastbound,Bermondsey,Canada Water,1.06,1.48,2.0,2.0
199,Jubilee,Eastbound,Canada Water,Canary Wharf,2.41,2.5,3.0,3.02
200,Jubilee,Eastbound,Canary Wharf,North Greenwich,1.71,2.23,3.19,3.49
201,Jubilee,Eastbound,North Greenwich,Canning Town,1.71,2.15,2.5,2.5
202,Jubilee,Eastbound,Canning Town,West Ham,1.58,2.15,2.93,2.58
203,Jubilee,Eastbound,West Ham,Stratford,1.54,3.15,4.9,3.77
204,Jubilee,Westbound,Stratford,West Ham,1.54,2.42,3.5,3.12
205,Jubilee,Westbound,West Ham,Canning Town,1.58,2.13,2.5,2.5
206,Jubilee,Westbound,Canning Town,North Greenwich,1.71,2.17,3.07,2.99
207,Jubilee,Westbound,North Greenwich,Canary Wharf,1.71,1.98,2.55,2.5
208,Jubilee,Westbound,Canary Wharf,Canada Water,2.41,2.63,3.0,3.0
209,Jubilee,Westbound,Canada Water,Bermondsey,1.06,1.52,2.0,2.0
210,Jubilee,Westbound,Bermondsey,London Bridge,1.93,2.17,2.5,2.5
211,Jubilee,Westbound,London Bridge,Southwark,1.26,1.77,2.0,2.0
212,Jubilee,Westbound,Southwark,Waterloo,0.44,0.97,1.5,1.5
213,Jubilee,Westbound,Waterloo,Westminster,0.96,1.43,2.44,2.01
214,Jubilee,Westbound,Westminster,Green Park,1.34,1.82,2.0,2.01
215,Jubilee,Westbound,Green Park,Bond Street,1.37,1.82,2.5,2.5
216,Jubilee,Westbound,Bond Street,Baker Street,1.66,2.28,2.5,2.5
217,Jubilee,Westbound,Baker Street,St Johns Wood,2.06,2.85,3.5,3.5
218,Jubilee,Westbound,St Johns Wood,Swiss Cottage,0.92,1.52,1.5,1.5
219,Jubilee,Westbound,Swiss Cottage,Finchley Road,0.61,1.18,2.0,2.0
220,Jubilee,Westbound,Finchley Road,West Hampstead,0.61,1.2,1.5,1.51
221,Jubilee,Westbound,West Hampstead,Kilburn,1.09,1.55,2.0,2.0
222,Jubilee,Westbound,Kilburn,Willesden Green,1.19,2.07,2.32,2.22
223,Jubilee,Westbound,Willesden Green,Dollis Hill,1.21,1.67,2.0,2.0
