,station_from,station_to,line,direction,distance_kms,un-impeded_running_time,running_time_av
293,Elephant & Castle,Borough,Northern,Northbound,0.85,1.75,2.0
294,Borough,London Bridge,Northern,Northbound,0.67,1.4,1.5
295,London Bridge,Bank,Northern,Northbound,0.69,1.53,2.17
296,Bank,Moorgate,Northern,Northbound,0.82,1.77,2.26
297,Moorgate,Old Street,Northern,Northbound,0.69,1.45,1.5
298,Old Street,Angel,Northern,Northbound,1.44,2.43,2.5
299,Angel,Kings Cross St Pancras,Northern,Northbound,1.38,2.15,2.5
300,Kings Cross St Pancras,Euston,Northern,Northbound,0.61,1.33,1.6
301,Euston,Camden Town,Northern,Northbound,1.71,3.88,4.22
302,Kennington,Waterloo,Northern,Northbound,1.89,2.77,3.0
303,Waterloo,Embankment,Northern,Northbound,0.7,1.4,2.0
304,Embankment,Charing Cross,Northern,Northbound,0.27,0.87,1.13
305,Charing Cross,Leicester Square,Northern,Northbound,0.46,1.17,1.5
306,Leicester Square,Tottenham Court Road,Northern,Northbound,0.4,1.03,1.5
307,Tottenham Court Road,Goodge Street,Northern,Northbound,0.62,1.28,1.5
308,Goodge Street,Warren Street,Northern,Northbound,0.46,1.07,1.5
309,Warren Street,Euston,Northern,Northbound,0.58,1.18,1.5
310,Euston,Mornington Crescent,Northern,Northbound,0.82,1.53,1.5
311,Mornington Crescent,Camden Town,Northern,Northbound,0.64,1.8,2.52
312,Camden Town,Kentish Town,Northern,Northbound,1.15,1.95,2.0
313,Kentish Town,Tufnell Park,Northern,Northbound,0.8,1.58,1.5
314,Tufnell Park,Archway,Northern,Northbound,0.88,1.68,2.0
315,Archway,Highgate,Northern,Northbound,1.7,2.75,3.0
316,Highgate,East Finchley,Northern,Northbound,1.63,2.62,3.01
317,East Finchley,Finchley Central,Northern,Northbound,2.42,3.1,4.27
318,Finchley Central,Mill Hill East,Northern,Northbound,1.52,2.98,2.5
319,Finchley Central,West Finchley,Northern,Northbound,1.14,2.1,2.0
320,West Finchley,Woodside Park,Northern,Northbound,0.98,1.55,2.0
321,Woodside Park,Totteridge & Whetstone,Northern,Northbound,1.5,2.23,2.5
322,Totteridge & Whetstone,High Barnet,Northern,Northbound,2.46,4.62,4.66
323,Camden Town,Chalk Farm,Northern,Northbound,0.85,1.55,1.5
324,Chalk Farm,Belsize Park,Northern,Northbound,1.1,1.9,2.0
325,Belsize Park,Hampstead,Northern,Northbound,1.2,2.02,2.5
326,Hampstead,Golders Green,Northern,Northbound,2.34,3.95,5.16
327,Golders Green,Brent Cross,Northern,Northbound,1.55,2.22,2.5
328,Brent Cross,Hendon Central,Northern,Northbound,1.1,1.83,2.0
329,Hendon Central,Colindale,Northern,Northbound,2.1,2.67,3.0
330,Colindale,Burnt Oak,Northern,Northbound,1.31,2.07,2.0
331,Burnt Oak,Edgware,Northern,Northbound,1.47,3.37,3.77
332,Uxbridge,Hillingdon,Piccadilly,Eastbound,2.03,3.0,3.0
333,Hillingdon,Ickenham,Piccadilly,Eastbound,1.08,1.6,2.0
334,Ickenham,Ruislip,Piccadilly,Eastbound,1.85,2.3,2.5
335,Ruislip,Ruislip Manor,Piccadilly,Eastbound,0.72,1.3,1.5
336,Ruislip Manor,Eastcote,Piccadilly,Eastbound,1.14,1.67,2.0
337,Eastcote,Rayners Lane,Piccadilly,Eastbound,1.72,2.23,3.65
338,Rayners Lane,South Harrow,Piccadilly,Eastbound,1.89,2.58,4.1
339,South Harrow,Sudbury Hill,Piccadilly,Eastbound,1.36,1.85,2.0
340,Sudbury Hill,Sudbury Town,Piccadilly,Eastbound,1.65,2.03,2.5
341,Sudbury Town,Alperton,Piccadilly,Eastbound,1.57,1.95,2.5
342,Alperton,Park Royal,Piccadilly,Eastbound,1.97,2.2,2.5
343,Park Royal,North Ealing,Piccadilly,Eastbound,1.06,1.52,2.26
344,North Ealing,Ealing Common,Piccadilly,Eastbound,0.94,1.65,2.5
345,Ealing Common,Acton Town,Piccadilly,Eastbound,1.03,1.83,3.24
346,Heathrow Terminals 1 2 3,Hatton Cross,Piccadilly,Eastbound,2.15,2.63,4.26
347,Hatton Cross,Hounslow West,Piccadilly,Eastbound,2.91,3.25,3.5
348,Hounslow West,Hounslow Central,Piccadilly,Eastbound,1.46,1.98,2.5
349,Hounslow Central,Hounslow East,Piccadilly,Eastbound,0.74,1.3,1.5
350,Hounslow East,Osterley,Piccadilly,Eastbound,0.96,1.53,2.0
351,Osterley,Boston Manor,Piccadilly,Eastbound,2.42,2.85,3.0
352,Boston Manor,Northfields,Piccadilly,Eastbound,0.99,1.98,3.92
353,Northfields,South Ealing,Piccadilly,Eastbound,0.38,0.98,1.5
354,South Ealing,Acton Town,Piccadilly,Eastbound,2.2,2.93,4.2
355,Acton Town,Hammersmith,Piccadilly,Eastbound,4.42,5.65,5.76
356,Hammersmith,Barons Court,Piccadilly,Eastbound,0.68,1.38,2.0
357,Barons Court,Earls Court,Piccadilly,Eastbound,1.62,2.55,3.0
