,Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
144,Mile End,536577,182545,51.5253109195645,-0.0326660842711517,2,E3 4DH
145,Mill Hill East,524057,191460,51.60831630368604,-0.2098957103144066,4,NW7 1BS
146,Monument,532907,180814,51.51063027735101,-0.0861883132610571,1,EC4R 9AA
147,Moor Park,508563,193509,51.62992995953362,-0.4329130164958966,"6,7",HA6 2JQ
148,Moorgate,532688,181677,51.51843699583112,-0.0890176874196191,1,EC2M 6TX
149,Morden,525664,168563,51.40218564474951,-0.1948519795190437,4,SM4 5AZ
150,Mornington Crescent,529193,183359,51.53436199274684,-0.1387443487247141,2,NW1 2JA
151,Neasden,521415,185422,51.55462731004116,-0.2501150416936122,3,NW10 1PH
152,Newbury Park,544947,188378,51.57563850646377,0.0903031581978967,4,IG2 7RN
153,North Acton,520831,181937,51.52343200460989,-0.2597295239222282,"2,3",W3 6UP
154,North Ealing,518816,181243,51.51762181807098,-0.2889935477531711,3,W5 3AF
155,North Greenwich,539168,179827,51.5002551610895,0.0035862591259508,"2,3",SE10 0PH
156,North Harrow,513540,188578,51.58463070784392,-0.3626329855990683,5,HA2 7SR
157,North Wembley,517663,186198,51.56239579644328,-0.3039482139132909,4,HA0 3NT
158,Northfields,517051,179296,51.50049115689572,-0.3150648129885717,3,W13 9QU
159,Northolt,513228,184519,51.54821230018008,-0.3684405875976204,5,UB5 4AA
160,Northwick Park,516634,187967,51.57850816965304,-0.3181993860133686,4,HA3 0AT
161,Northwood,509236,191441,51.61121291958136,-0.4238377761958177,6,HA6 2XL
162,Northwood Hills,510267,190305,51.60080197791432,-0.4093113480568928,6,HA6 1NZ
163,Notting Hill Gate,525296,180481,51.50937501801177,-0.1959216162263908,"1,2",W11 3HT
164,Oakwood,529349,195968,51.64763774735996,-0.1318535388133937,5,N14 4UT
165,Old Street,532764,182474,51.52558133074304,-0.0876229573873512,1,EC1V 9NR
166,Osterley,514529,177094,51.48121623575927,-0.3520960888490031,4,TW7 4PU
167,Oval,531108,177516,51.48141241737747,-0.1133210751213317,2,SE11 4PP
168,Oxford Circus,529102,181227,51.51522317440166,-0.1408361701333405,1,W1C 2JS
169,Paddington,526680,181185,51.51539350022652,-0.1757367502657722,1,W2 1RH
170,Park Royal,519074,182274,51.526833556086295,-0.2849289129671047,3,W5 3EL
171,Parsons Green,525029,176645,51.47495982565945,-0.2011244900122527,2,SW6 4HU
172,Perivale,516404,183270,51.53634129467288,-0.3230704159011666,4,UB6 7NP
173,Piccadilly Circus,529612,180625,51.50969653217059,-0.1337115961590762,1,W1J 9HS
174,Pimlico,529711,178386,51.48955264664939,-0.1331082573913848,1,SW1V 2JA
175,Pinner,512233,189409,51.59236105660715,-0.3812237817376104,5,HA5 5LZ
176,Plaistow,540058,183305,51.53128836681778,0.0177806419969851,3,E13 0DY
177,Preston Road,518260,187292,51.57210324779927,-0.2949720074830668,4,HA3 0PS
178,Putney Bridge,524476,175842,51.46786499705636,-0.2093654143019544,2,SW6 3UH
179,Queens Park,524612,183239,51.53431231776354,-0.2047981469506716,2,NW6 6HJ
180,Queensbury,518802,189728,51.59388250931327,-0.286331592620629,4,HA8 5NP
181,Queensway,525883,180615,51.51044892854765,-0.1874199010483689,1,W2 4SS
182,Ravenscourt Park,522558,178711,51.494067596546,-0.2359692298601434,2,W6 0UG
183,Rayners Lane,512979,187538,51.57539612738852,-0.3710608057487111,5,HA5 5EG
184,Redbridge,541833,188371,51.576366994360605,0.0453940440870773,4,IG4 5BG
185,Regents Park,528765,182174,51.523810437772845,-0.1453444097205957,1,NW1 5HA
186,Richmond,518072,175174,51.46323239395917,-0.3017391287049293,4,TW9 2AZ
187,Rickmansworth,505717,194605,51.640322241933696,-0.4736845710128753,7,WD3 1QY
188,Roding Valley,541612,192882,51.61695652081232,0.0440262071266384,4,IG9 6LN
189,Royal Oak,525764,181485,51.5182940459234,-0.1888236715468541,2,W2 6ET
190,Ruislip,509510,187102,51.572161233876166,-0.4212349155921323,6,HA4 8LD
191,Ruislip Gardens,510367,185763,51.55995951052218,-0.4092941013740339,5,HA4 6LG
192,Ruislip Manor,510088,187258,51.57345090114912,-0.4128493444318482,6,HA4 9AA
